latitude,longitude,dist_m,builtup_density
22.132876653360928,72.24952628230714,2700.175109827714,0.05456399917602539
22.20968929287689,72.19280264267191,750.1305438210607,0.011218765750527382
22.067292398160788,72.1899241697577,3155.5740761250527,0.03671596199274063
22.119738788586563,72.2240297326652,1078.5676060953454,0.007649158593267202
22.3675967639978,72.21843651768923,59.22569926808899,0.07547169923782349
22.11138043952995,72.2814908087391,6681.796126571821,0.0
22.150948623505258,72.14653859808098,1094.5198372641737,0.0020397757180035114
22.25960554939383,72.17043910787719,1127.781254945413,0.03161652386188507
22.270995904012896,72.24522359297325,3492.3510381108367,0.06323304772377014
22.15106594456573,72.2283732748338,222.6162646864794,0.016828149557113647
22.22253625966739,72.04712267294266,1167.2098365669012,0.004079551436007023
22.142453311355535,72.21998180265547,425.92428621125237,0.014278429560363293
22.052949159587886,72.23399874333994,5956.213059092686,0.0010198878590017557
22.406879711032058,72.2060353542268,804.7662520295006,0.0
22.077867282621888,72.28966225122318,8903.464220789827,0.0
22.302044346754183,72.10037270447916,1672.1791238375436,0.0
22.250889096420256,72.24867400565914,3916.4880738845177,0.03722590580582619
22.361132218197987,72.29445916183296,4423.8390705424745,0.1494135707616806
22.249735556486666,72.12764856111974,708.5961397061551,0.0010198878590017557
22.057464254850693,72.1856341452922,3856.5619568868306,0.07853136211633682
22.252511163306483,72.32477667213547,8948.145928202546,0.0016384489135816693
22.249352047021336,72.1010427982532,725.1943110573606,0.0020397757180035114
22.08224326828604,72.28974753811802,8749.181566118212,0.0
22.25712544741995,72.25266745659313,4724.623866284565,0.0020397757180035114
22.073638722145038,72.12319984092012,1167.802984070745,0.0
22.12953373552465,72.21233263745022,499.0471652216728,0.019377868622541428
22.31452949131953,72.23102213961188,87.2892582694499,0.07547169923782349
22.372536495557426,72.20885474093056,547.2672886319485,0.006119326688349247
22.285489470803665,72.19431249059228,1261.2064255083562,0.01274859718978405
22.189171373798068,72.10127125833431,706.5647795183,0.02039775624871254
22.317514336799395,72.11313586111986,385.81667412565594,0.0
22.202227131432295,72.15859444084188,3.589207923251531,0.01325854193419218
